Old,New,,,Document,,,,Training,,,,"User
Manage",View Log
,,,,View,Regis,Review,Approve,View,Regis,Review,Approve,,
7,1,User,All Vana,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,2,Requester,Sr.Mgr./Manager/Asst.Mgr./Supervisor/Senior/Admin,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,3,Acknowledgment,Director/Asst.Dir./Sr.Mgr./Manager,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4,4,Reviewer-TN,Training,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3,5,Approver-TN,LD Manager,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2,6,Reviewer-DCC,DCC,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,7,Approver-DCC,MR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
,99,Admin,Admin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE